company_name,symbol,sector_name,subsector_name,listing_date,listing_y,listing_m,listing_d
Semirara Mining and Power Corporation,SCC,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1983-11-28,1983,11,28
Security Bank Corporation,SECB,FINANCIALS,BANKS,1995-06-08,1995,6,8
Philippine Seven Corporation,SEVN,SERVICES,RETAIL,1998-02-04,1998,2,4
"Swift Foods, Inc.",SFI,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1994-11-15,1994,11,15
"Swift Foods, Inc. Convertible Preferred",SFIP,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2000-03-17,2000,3,17
"Solid Group, Inc.",SGI,HOLDING FIRMS,HOLDING FIRMS,1948-04-26,1948,4,26
"Synergy Grid & Development Phils., Inc.",SGP,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1972-05-10,1972,5,10
Shell Pilipinas Corporation,SHLPH,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2016-11-03,2016,11,3
"Shang Properties, Inc.",SHNG,PROPERTY,PROPERTY,1991-06-13,1991,6,13
Sun Life Financial Inc.,SLF,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2000-03-24,2000,3,24
"Sta. Lucia Land, Inc.",SLI,PROPERTY,PROPERTY,1987-09-14,1987,9,14
SM Investments Corporation,SM,HOLDING FIRMS,HOLDING FIRMS,2005-03-22,2005,3,22
San Miguel Corporation,SMC,HOLDING FIRMS,HOLDING FIRMS,1948-11-05,1948,11,5
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-A``,SMC2A,HOLDING FIRMS,HOLDING FIRMS,2012-09-28,2012,9,28
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-B``,SMC2B,HOLDING FIRMS,HOLDING FIRMS,2012-09-28,2012,9,28
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-C``,SMC2C,HOLDING FIRMS,HOLDING FIRMS,2012-09-28,2012,9,28
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-D``,SMC2D,HOLDING FIRMS,HOLDING FIRMS,2015-09-21,2015,9,21
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-E``,SMC2E,HOLDING FIRMS,HOLDING FIRMS,2015-09-21,2015,9,21
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-F``,SMC2F,HOLDING FIRMS,HOLDING FIRMS,2015-09-21,2015,9,21
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-G``,SMC2G,HOLDING FIRMS,HOLDING FIRMS,2016-03-30,2016,3,30
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-H``,SMC2H,HOLDING FIRMS,HOLDING FIRMS,2016-03-30,2016,3,30
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-I``,SMC2I,HOLDING FIRMS,HOLDING FIRMS,2016-03-30,2016,3,30
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-J``,SMC2J,HOLDING FIRMS,HOLDING FIRMS,2020-10-29,2020,10,29
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-K``,SMC2K,HOLDING FIRMS,HOLDING FIRMS,2020-12-10,2020,12,10
San Miguel Corporation Series 2 Preferred Shares – Subseries ``2L``,SMC2L,HOLDING FIRMS,HOLDING FIRMS,2023-12-01,2023,12,1
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-M``,SMC2M,HOLDING FIRMS,HOLDING FIRMS,2023-08-29,2023,8,29
San Miguel Corporation Series 2 Preferred Shares – Subseries ``2N``,SMC2N,HOLDING FIRMS,HOLDING FIRMS,2023-12-01,2023,12,1
San Miguel Corporation Series 2 Preferred Shares – Subseries ``2O``,SMC2O,HOLDING FIRMS,HOLDING FIRMS,2023-12-01,2023,12,1
San Miguel Corporation - Preferred Series ``1``,SMCP1,HOLDING FIRMS,HOLDING FIRMS,2010-12-08,2010,12,8
"SM Prime Holdings, Inc.",SMPH,PROPERTY,PROPERTY,1994-07-05,1994,7,5
"SOCResources, Inc.",SOC,PROPERTY,PROPERTY,1994-01-05,1994,1,5
SPC Power Corporation,SPC,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2002-04-02,2002,4,2
Seafront Resources Corporation,SPM,HOLDING FIRMS,HOLDING FIRMS,1974-05-07,1974,5,7
SP New Energy Corporation,SPNEC,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2021-12-17,2021,12,17
Supercity Realty Development Corporation,SRDC,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2003-12-19,2003,12,19
"SSI Group, Inc.",SSI,SERVICES,RETAIL,2014-11-07,2014,11,7
SFA Semicon Philippines Corporation,SSP,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2014-12-01,2014,12,1
"STI Education Systems Holdings, Inc.",STI,SERVICES,EDUCATION,1976-10-12,1976,10,12
Steniel Manufacturing Corporation,STN,INDUSTRIAL,OTHER INDUSTRIALS,1993-11-22,1993,11,22
"Vistamalls, Inc.",STR,PROPERTY,PROPERTY,1970-11-17,1970,11,17
"Suntrust Resort Holdings, Inc.",SUN,PROPERTY,PROPERTY,1959-02-11,1959,2,11
TKC Metals Corporation,T,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2001-07-20,2001,7,20
Transpacific Broadband Group Int`l. Inc.,TBGI,SERVICES,INFORMATION TECHNOLOGY,2003-12-12,2003,12,12
