company_name,symbol,sector_name,subsector_name,listing_date,listing_y,listing_m,listing_d
Del Monte Pacific Limited U.S. Dollar-Denominated Series A-1 Preference Shares,DMPA1,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2017-04-07,2017,4,7
Del Monte Pacific Limited U.S. Dollar-Denominated Series A-2 Preference Shares,DMPA2,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2017-12-15,2017,12,15
"D.M. Wenceslao & Associates, Incorporated",DMW,PROPERTY,PROPERTY,2018-06-29,2018,6,29
Philab Holdings Corp.,DNA,SME,SME,2009-09-03,2009,9,3
"D&L Industries, Inc.",DNL,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2012-12-12,2012,12,12
PLDT INC. -USD,DTEL,SERVICES,TELECOMMUNICATIONS,2003-07-16,2003,7,16
Discovery World Corporation,DWC,SERVICES,HOTEL & LEISURE,2013-11-21,2013,11,21
"Easycall Communications Philippines, Inc.",ECP,SERVICES,OTHER SERVICES,1992-05-05,1992,5,5
East Coast Vulcan Corporation,ECVC,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",1970-08-31,1970,8,31
EEI Corporation,EEI,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",1975-07-21,1975,7,21
EEI Corporation Series A Preferred Shares,EEIPA,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2021-12-23,2021,12,23
EEI Corporation Series B Preferred Shares,EEIPB,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2021-12-23,2021,12,23
"IP E-Game Ventures, Inc.",EG,SERVICES,CASINOS & GAMING,2010-02-17,2010,2,17
"Empire East Land Holdings, Inc.",ELI,PROPERTY,PROPERTY,1996-06-28,1996,6,28
Emperador Inc.,EMI,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2011-12-19,2011,12,19
ENEX Energy Corp.,ENEX,MINING & OIL,OIL,2014-08-28,2014,8,28
"Euro-Med Laboratories Phil., Inc.",EURO,INDUSTRIAL,CHEMICALS,1998-07-02,1998,7,2
"Ever-Gotesco Resources and Holdings, Inc.",EVER,PROPERTY,PROPERTY,1996-09-16,1996,9,16
East West Banking Corporation,EW,FINANCIALS,BANKS,2012-05-07,2012,5,7
First Abacus Financial Holdings Corp.,FAF,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1994-11-17,1994,11,17
"San Miguel Food and Beverage, Inc.",FB,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1971-10-28,1971,10,28
"San Miguel Food and Beverage, Inc. - Preferred",FBP,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2011-03-03,2011,3,3
"San Miguel Food and Beverage, Inc. Perpetual Preferred Shares Series ``2``",FBP2,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2015-03-12,2015,3,12
"Figaro Coffee Group, Inc.",FCG,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2022-01-24,2022,1,24
Filinvest Development Corporation,FDC,HOLDING FIRMS,HOLDING FIRMS,1982-12-22,1982,12,22
"Ferronoux Holdings, Inc.",FERRO,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2013-08-13,2013,8,13
"Far Eastern University, Incorporated",FEU,SERVICES,EDUCATION,1986-07-11,1986,7,11
"Filipino Fund, Inc.",FFI,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1995-09-27,1995,9,27
First Gen Corporation,FGEN,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2006-02-10,2006,2,10
First Gen Corporation Series ``G`` Preferred Shares,FGENG,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2012-05-17,2012,5,17
Filinvest REIT Corp.,FILRT,PROPERTY,PROPERTY,2021-08-12,2021,8,12
F&J Prince Holdings Corporation ``A``,FJP,HOLDING FIRMS,HOLDING FIRMS,1982-12-08,1982,12,8
F&J Prince Holdings Corporation ``B``,FJPB,HOLDING FIRMS,HOLDING FIRMS,1982-12-08,1982,12,8
"Filinvest Land, Inc.",FLI,PROPERTY,PROPERTY,1993-10-25,1993,10,25
"First Metro Philippine Equity Exchange Traded Fund, Inc.",FMETF,ETF,ETF-EQUITY,2013-12-02,2013,12,2
"Global Ferronickel Holdings, Inc.",FNI,MINING & OIL,MINING,1994-12-14,1994,12,14
"Alliance Select Foods International, Inc.",FOOD,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2006-11-08,2006,11,8
First Philippine Holdings Corporation,FPH,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1963-05-23,1963,5,23
"Forum Pacific, Inc.",FPI,HOLDING FIRMS,HOLDING FIRMS,1994-12-19,1994,12,19
"Fruitas Holdings, Inc.",FRUIT,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2019-11-29,2019,11,29
Filsyn Corporation ``A``,FYN,INDUSTRIAL,OTHER INDUSTRIALS,1975-06-03,1975,6,3
Filsyn Corporation ``B``,FYNB,INDUSTRIAL,OTHER INDUSTRIALS,1975-06-03,1975,6,3
"GEOGRACE Resources Philippines, Inc.",GEO,MINING & OIL,MINING,1972-02-07,1972,2,7
"Global-Estate Resorts, Inc.",GERI,PROPERTY,PROPERTY,1995-11-23,1995,11,23
"Globe Telecom, Inc.",GLO,SERVICES,TELECOMMUNICATIONS,1975-08-11,1975,8,11
"Globe Telecom, Inc. Series A Voting Perpetual Preferred Shares",GLOPA,SERVICES,TELECOMMUNICATIONS,2001-06-29,2001,6,29
"Globe Telecom, Inc. Series A Non-Voting Perpetual Preferred Shares",GLOPP,SERVICES,TELECOMMUNICATIONS,2014-08-22,2014,8,22
"GMA Network, Inc.",GMA7,SERVICES,MEDIA,2007-07-30,2007,7,30
"GMA Holdings, Inc. - Philippine Deposit Receipts",GMAP,SERVICES,MEDIA,2007-07-30,2007,7,30
Grand Plaza Hotel Corporation,GPH,SERVICES,HOTEL & LEISURE,1992-12-10,1992,12,10
Greenergy Holdings Incorporated,GREEN,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,1996-09-26,1996,9,26
"Ginebra San Miguel, Inc.",GSMI,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1995-04-18,1995,4,18
"GT Capital Holdings, Inc.",GTCAP,HOLDING FIRMS,HOLDING FIRMS,2012-04-20,2012,4,20
"GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``A``",GTPPA,HOLDING FIRMS,HOLDING FIRMS,2016-10-27,2016,10,27
"GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``B``",GTPPB,HOLDING FIRMS,HOLDING FIRMS,2016-10-27,2016,10,27
"House of Investments, Inc.",HI,HOLDING FIRMS,HOLDING FIRMS,1962-07-02,1962,7,2
AllHome Corp.,HOME,SERVICES,RETAIL,2019-10-10,2019,10,10
"8990 Holdings, Inc.",HOUSE,PROPERTY,PROPERTY,2010-12-09,2010,12,9
"Haus Talk, Inc.",HTI,SME,SME,2022-01-17,2022,1,17
"Golden MV Holdings, Inc.",HVN,PROPERTY,PROPERTY,2016-06-29,2016,6,29
"I-Remit, Inc.",I,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2007-10-17,2007,10,17
"International Container Terminal Services, Inc.",ICT,SERVICES,TRANSPORTATION SERVICES,1992-03-23,1992,3,23
Italpinas Development Corporation,IDC,SME,SME,2015-12-07,2015,12,7
"Integrated Micro-Electronics, Inc.",IMI,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2010-01-21,2010,1,21
"Imperial Resources, Inc.",IMP,SERVICES,INFORMATION TECHNOLOGY,1970-08-31,1970,8,31
Philippine Infradev Holdings Inc.,INFRA,PROPERTY,PROPERTY,1978-02-27,1978,2,27
"Ionics, Inc.",ION,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,1995-07-18,1995,7,18
"IPM Holdings, Inc.",IPM,SERVICES,OTHER SERVICES,1998-06-17,1998,6,17
"iPeople, Inc.",IPO,SERVICES,EDUCATION,1990-01-24,1990,1,24
"Island Information & Technology, Inc.",IS,SERVICES,INFORMATION TECHNOLOGY,1988-12-06,1988,12,6
"Jackstones, Inc.",JAS,SERVICES,INFORMATION TECHNOLOGY,1967-10-27,1967,10,27
Jollibee Foods Corporation,JFC,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1993-07-14,1993,7,14
Jollibee Foods Corporation Non-Voting Perpetual Series A Preferred Shares,JFCPA,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2021-10-14,2021,10,14
Jollibee Foods Corporation Non-Voting Perpetual Series B Preferred Shares,JFCPB,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2021-10-14,2021,10,14
"JG Summit Holdings, Inc.",JGS,HOLDING FIRMS,HOLDING FIRMS,1993-08-09,1993,8,9
Jolliville Holdings Corporation,JOH,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2002-06-17,2002,6,17
"The Keepers Holdings, Inc.",KEEPR,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1991-09-03,1991,9,3
"Keppel Philippines Properties, Inc.",KEP,PROPERTY,PROPERTY,1989-09-11,1989,9,11
"Keppel Philippines Holdings, Inc. ``A``",KPH,HOLDING FIRMS,HOLDING FIRMS,1987-08-26,1987,8,26
"Keppel Philippines Holdings, Inc. ``B``",KPHB,HOLDING FIRMS,HOLDING FIRMS,1987-08-26,1987,8,26
"Kepwealth Property Phils., Inc.",KPPI,SME,SME,2019-08-19,2019,8,19
"City & Land Developers, Incorporated",LAND,PROPERTY,PROPERTY,1999-12-13,1999,12,13
"LBC Express Holdings, Inc.",LBC,SERVICES,TRANSPORTATION SERVICES,2001-12-21,2001,12,21
Lepanto Consolidated Mining Company ``A``,LC,MINING & OIL,MINING,1947-04-30,1947,4,30
Lepanto Consolidated Mining Company ``B``,LCB,MINING & OIL,MINING,1947-04-30,1947,4,30
"Liberty Flour Mills, Inc.",LFM,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1985-04-25,1985,4,25
LMG Corp.,LMG,INDUSTRIAL,CHEMICALS,1986-01-07,1986,1,7
Lodestar Investment Holdings Corporation,LODE,HOLDING FIRMS,HOLDING FIRMS,1989-05-26,1989,5,26
Pacific Online Systems Corporation,LOTO,SERVICES,CASINOS & GAMING,2007-04-12,2007,4,12
LFM Properties Corporation,LPC,SME,SME,2022-11-09,2022,11,9
Lopez Holdings Corporation,LPZ,HOLDING FIRMS,HOLDING FIRMS,1993-11-25,1993,11,25
Lorenzo Shipping Corporation,LSC,SERVICES,TRANSPORTATION SERVICES,1996-07-22,1996,7,22
"LT Group, Inc.",LTG,HOLDING FIRMS,HOLDING FIRMS,1947-11-07,1947,11,7
Manila Mining Corporation ``A``,MA,MINING & OIL,MINING,1959-12-17,1959,12,17
Manila Mining Corporation ``B``,MAB,MINING & OIL,MINING,1959-12-17,1959,12,17
MacroAsia Corporation,MAC,SERVICES,TRANSPORTATION SERVICES,1970-05-21,1970,5,21
"Macay Holdings, Inc.",MACAY,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1987-01-28,1987,1,28
Metro Alliance Holdings & Equities Corp. ``A``,MAH,SERVICES,TRANSPORTATION SERVICES,1947-12-08,1947,12,8
Metro Alliance Holdings & Equities Corp. ``B``,MAHB,SERVICES,TRANSPORTATION SERVICES,1947-12-08,1947,12,8
"Marcventures Holdings, Inc.",MARC,MINING & OIL,MINING,1958-01-10,1958,1,10
"Max`s Group, Inc.",MAXS,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2000-12-15,2000,12,15
Manila Bulletin Publishing Corporation,MB,SERVICES,MEDIA,1990-04-18,1990,4,18
Manila Broadcasting Company,MBC,SERVICES,MEDIA,1949-10-08,1949,10,8
Metropolitan Bank & Trust Company,MBT,FINANCIALS,BANKS,1981-02-26,1981,2,26
"Medco Holdings, Inc.",MED,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1975-11-18,1975,11,18
Medilines Distributors Incorporated,MEDIC,SERVICES,OTHER SERVICES,2021-12-07,2021,12,7
Megaworld Corporation,MEG,PROPERTY,PROPERTY,1994-06-15,1994,6,15
Manila Electric Company,MER,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1992-01-08,1992,1,8
Manulife Financial Corporation,MFC,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1999-09-27,1999,9,27
Makati Finance Corporation,MFIN,SME,SME,2003-01-06,2003,1,6
"Millennium Global Holdings, Inc.",MG,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1976-03-01,1976,3,1
Metro Global Holdings Corporation,MGH,HOLDING FIRMS,HOLDING FIRMS,1964-05-04,1964,5,4
Mabuhay Holdings Corporation,MHC,HOLDING FIRMS,HOLDING FIRMS,1990-10-22,1990,10,22
"Manila Jockey Club, Inc.",MJC,SERVICES,CASINOS & GAMING,1963-10-11,1963,10,11
MJC Investments Corporation,MJIC,SERVICES,CASINOS & GAMING,1955-11-11,1955,11,11
MerryMart Consumer Corp.,MM,SME,SME,2020-06-15,2020,6,15
Monde Nissin Corporation,MONDE,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2021-06-01,2021,6,1
"MRC Allied, Inc.",MRC,PROPERTY,PROPERTY,1995-05-18,1995,5,18
"MREIT, Inc.",MREIT,PROPERTY,PROPERTY,2021-10-01,2021,10,1
"Metro Retail Stores Group, Inc.",MRSGI,SERVICES,RETAIL,2015-11-24,2015,11,24
Mabuhay Vinyl Corporation,MVC,INDUSTRIAL,CHEMICALS,1997-02-05,1997,2,5
"Manila Water Company, Inc.",MWC,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2005-03-18,2005,3,18
Megawide Construction Corporation,MWIDE,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2011-02-18,2011,2,18
Megawide Construction Corporation Perpetual Preferred Shares,MWP,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2014-12-03,2014,12,3
Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2A``,MWP2A,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2020-11-27,2020,11,27
Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2B``,MWP2B,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2020-11-27,2020,11,27
Megawide Construction Corporation Non-Voting Perpetual Series 4 Preferred Shares,MWP4,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2021-10-29,2021,10,29
Megawide Construction Corporation Non-Voting Perpetual Series 5 Preferred Shares,MWP5,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2023-04-17,2023,4,17
"NiHAO Mineral Resources International, Inc.",NI,MINING & OIL,MINING,1990-10-03,1990,10,3
Nickel Asia Corporation,NIKL,MINING & OIL,MINING,2010-11-22,2010,11,22
Now Corporation,NOW,SERVICES,INFORMATION TECHNOLOGY,2003-07-23,2003,7,23
National Reinsurance Corporation of the Philippines,NRCP,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2007-04-27,2007,4,27
NextGenesis Corporation,NXGEN,FINANCIALS,BANKS,1996-10-08,1996,10,8
Omico Corporation,OM,PROPERTY,PROPERTY,1969-05-02,1969,5,2
Oriental Petroleum and Minerals Corporation ``A``,OPM,MINING & OIL,OIL,1970-10-14,1970,10,14
Oriental Petroleum and Minerals Corporation ``B``,OPMB,MINING & OIL,OIL,1970-10-14,1970,10,14
"Oriental Peninsula Resources Group, Inc.",ORE,MINING & OIL,MINING,2007-12-19,2007,12,19
The Philodrill Corporation,OV,MINING & OIL,OIL,1969-09-25,1969,9,25
"Pacifica Holdings, Inc.",PA,HOLDING FIRMS,HOLDING FIRMS,1959-11-23,1959,11,23
"PAL Holdings, Inc.",PAL,SERVICES,TRANSPORTATION SERVICES,1954-01-04,1954,1,4
"Paxys, Inc.",PAX,SERVICES,OTHER SERVICES,1972-10-05,1972,10,5
"Philippine Business Bank, Inc., A Savings Bank",PBB,FINANCIALS,BANKS,2013-02-19,2013,2,19
